Mean,High,Low,Open,Ma,Rsi,CCI,adx,Macd,atr,Chaiken,HighLow,Aligator,AC,AD,Close,Date,Dt,Mom-BollObv,Adx-Boll
6883.5,6906,6861,0.89878,0.90015,39.53678,-77.1598,35.9804,-0.00111,0.00153,1668695,-1961.82758,0.90015,0.00017,-1920650.722,0.89878,2018.12.24 06:00:00,1,1,1
6900.5,6937,6864,0.89904,0.90005,40.95227,-58.60588,34.77995,-0.00106,0.00147,1669626,-1797.57684,0.90005,0.00026,-1920561.448,0.89904,2018.12.24 07:00:00,1,1,1
6886,6910,6862,0.8986,0.89992,39.42408,-80.69183,33.79848,-0.00103,0.0014,1668287,-1848.88046,0.89992,0.0003,-1921844.657,0.89863,2018.12.24 08:00:00,1,1,1
6831.5,6881,6782,0.89806,0.89975,37.38749,-113.04788,34.63571,-0.00105,0.00136,1665889,-2038.3705,0.89975,0.00029,-1923079.99,0.89806,2018.12.24 09:00:00,1,1,1
6910,7014,6806,0.90011,0.89979,47.60807,40.94024,33.07138,-0.00089,0.0014,1669997,-1486.54847,0.89979,0.00037,-1919090.49,0.90011,2018.12.24 10:00:00,1,1,1
7031,7094,6968,0.90081,0.89988,50.58288,107.67094,30.22529,-0.00069,0.00138,1675088,-408.00583,0.89988,0.00056,-1914888.395,0.90083,2018.12.24 11:00:00,1,1,1
7153.5,7265,7042,0.90142,0.90002,52.88467,157.39457,29.2311,-0.00048,0.0014,1679417,265.60471,0.90002,0.00084,-1915334.884,0.90142,2018.12.24 12:00:00,1,1,1
7129,7184,7074,0.90105,0.90011,51.31092,130.73392,28.32729,-0.00034,0.00134,1675303,433.24815,0.90011,0.00102,-1917130.084,0.90105,2018.12.24 13:00:00,1,1,1
7113.5,7163,7064,0.90087,0.90018,50.54263,111.33201,27.20582,-0.00024,0.00118,1670389,119.17915,0.90018,0.00119,-1919760.811,0.90087,2018.12.24 14:00:00,1,1,1
7025,7132,6918,0.89946,0.90012,45.07068,-6.55271,25.07575,-0.00028,0.00115,1664240,-801.64172,0.90012,0.00102,-1924185.792,0.89948,2018.12.24 15:00:00,1,1,1
6853,6959,6747,0.89816,0.89994,40.61929,-111.00907,24.7263,-0.0004,0.00116,1656327,-1874.43017,0.89994,0.00045,-1927097.179,0.89814,2018.12.24 16:00:00,1,1,1
6805.5,6871,6740,0.89741,0.89971,38.44722,-150.4617,24.50205,-0.00056,0.00114,1646480,-4105.92727,0.89971,-0.00023,-1936793.843,0.89741,2018.12.24 17:00:00,1,1,1
6720.5,6787,6654,0.89662,0.89943,36.2449,-184.55201,25.34398,-0.00073,0.00116,1639245,-6546.63986,0.89943,-0.00078,-1943158.467,0.89662,2018.12.24 18:00:00,1,1,1
6701,6762,6640,0.89703,0.89922,38.49264,-133.77677,26.27844,-0.00083,0.00117,1643494,-7962.24046,0.89922,-0.00108,-1942531.566,0.8971,2018.12.24 19:00:00,1,1,1
6715,6860,6570,0.89824,0.89914,44.09739,-41.47927,26.1001,-0.00079,0.00126,1647525,-8193.62177,0.89914,-0.00104,-1939056.566,0.8984,2018.12.24 20:00:00,1,1,1
6821,6846,6796,0.89813,0.89905,43.20699,-56.92315,25.93797,-0.00077,0.0012,1646061,-8249.01035,0.89905,-0.00057,-1939583.606,0.89812,2018.12.26 06:00:00,1,1,1
6795,6825,6765,0.89784,0.89894,42.30996,-69.29349,26.70991,-0.00077,0.00118,1644255,-8204.64778,0.89894,-0.00018,-1940245.806,0.89784,2018.12.26 07:00:00,1,1,1
6771,6828,6714,0.89761,0.89882,41.56566,-77.01587,28.08466,-0.00078,0.00122,1642757,-8029.74152,0.89882,0.00017,-1940508.613,0.89761,2018.12.26 08:00:00,1,1,1
6745,6771,6719,0.89726,0.89868,40.42927,-90.2445,29.33444,-0.0008,0.00123,1640789,-7956.79032,0.89868,0.00034,-1941946.766,0.89726,2018.12.26 09:00:00,1,1,1
